Name,Latitude,Longitude,Category,Venue_Id,Rectangle
Kruzenga,53.58485204733879,9.99850395347951,Deli / Bodega,51c49519498ea0454bf45cb7,"(1, 2, 0)"
Marbella,53.586417795476244,10.005719838774619,Spanish Restaurant,4ba3af36f964a520175438e3,"(1, 2, 1)"
Misaki,53.588633222146996,10.00431389372251,Sushi Restaurant,516e804de4b04d044a21619d,"(1, 2, 1)"
froyowelt,53.58597641819106,10.005881081034417,Frozen Yogurt Shop,51681fc3e4b0719c950364eb,"(1, 2, 1)"
Lieblingscafe,53.588353698820846,10.00436578442641,Café,4fd33d46e4b070e01dfc205d,"(1, 2, 1)"
REWE Center,53.5875877,10.00748312,Supermarket,4b2c8198f964a5207dc724e3,"(1, 2, 2)"
CHAPEAU!,53.584536264419484,10.009324120219956,Restaurant,525e7368498e43dfb1f2bf08,"(1, 2, 2)"
frozenyogurtwelt,53.585948,10.006148,Ice Cream Shop,4dc6a794887717c88041267c,"(1, 2, 2)"
REWE CITY,53.58518921792533,10.008772334470677,Supermarket,4b9253c5f964a52061f233e3,"(1, 2, 2)"
Goldbekufer,53.58500311373338,10.010491941093784,Pier,51729958e4b0b77ab945642d,"(1, 2, 2)"
Goldbekmarkt,53.585192233695764,10.012050634554525,Farmers Market,4b22b21ef964a520004c24e3,"(1, 2, 3)"
Pizza Tonio,53.59224546780841,9.999693028639278,Pizza Place,512a56b4e4b02612a7d89b47,"(1, 3, 0)"
Café Quiddje,53.5927193099345,10.002152938976755,Café,54d73302498ee4139d884d71,"(1, 3, 1)"
Kỳ Lân,53.592039,10.002215,Vietnamese Restaurant,51a341f5498efb00e5430134,"(1, 3, 1)"
Portomarin,53.591324,10.002164,Spanish Restaurant,4c76b06807818cfa8e1cd2e3,"(1, 3, 1)"
Le Beau Voisin,53.59282938367875,10.0032446989772,Café,5288ed4211d2f74766652d4f,"(1, 3, 1)"
Il Gelato,53.591451423193625,10.002060347140862,Ice Cream Shop,4b05885bf964a52042c022e3,"(1, 3, 1)"
Yak & yeti,53.58951022752311,10.00104426004695,Asian Restaurant,4be5ac90bcef2d7fe31f04e5,"(1, 3, 1)"
Le Xich Lo,53.59245032910444,10.002816987752663,Vietnamese Restaurant,55e2f6f7498ef94594d9fed6,"(1, 3, 1)"
froindlichst,53.5924924203836,10.002591360628184,Vegetarian / Vegan Restaurant,5658bd5f498e846dde0d480c,"(1, 3, 1)"
Café Neo,53.592959779653114,10.001009814843377,Café,52441d0b498ec6ff59cdf2bf,"(1, 3, 1)"
Osteria Da Enzo,53.592873026624574,10.003088790766402,Trattoria/Osteria,51b0b7a5498e281c3b61846f,"(1, 3, 1)"
Kiosk U Sierichstraße,53.59035336249192,10.001283212570682,Convenience Store,4dc844582271c93b2ec4cf3a,"(1, 3, 1)"
Vitalien Naturkost,53.59113596249932,10.002207440722252,Health Food Store,4b1558e8f964a52056ab23e3,"(1, 3, 1)"
H Sierichstraße,53.590059469341234,10.002873928237548,Bus Stop,56ca063bcd104c0a99b8d231,"(1, 3, 1)"
Hobby Dittrich,53.59300267861832,10.001751317933143,Hobby Shop,4d6cd90c8183a14304899a9f,"(1, 3, 1)"
Harvestehuder Tennis und Hockey-Club (HTHC),53.59145441252137,10.009553175182493,Tennis Court,4bd5be826798ef3b03db638d,"(1, 3, 2)"
Bäckerei & Feinkosthaus Am Borgweg,53.59038169821793,10.0156155760186,Deli / Bodega,4d25ea9ef50aa35d1b7b389f,"(1, 3, 3)"
Sagici,53.590265,10.015296,Burger Joint,5755b51e498ea986cf200e1f,"(1, 3, 3)"
Trinkhalle,53.592779205314145,10.014169080599528,Café,4e7e0c0e61af6aae1575ad03,"(1, 3, 3)"
Coffee Unlimited,53.59062612459607,10.01558614161877,Café,4b99f205f964a5200e9835e3,"(1, 3, 3)"
Deniz Grill,53.5905762320355,10.015490875312109,Doner Restaurant,4b657836f964a520a0f12ae3,"(1, 3, 3)"
Lidl,53.5891251,10.0162347,Supermarket,4ea8378e9a526de96a9daa26,"(1, 3, 3)"
Thai Style,53.590076,10.01529,Thai Restaurant,4ba3ce83f964a520a16138e3,"(1, 3, 3)"
Kiosk U3 Borgweg,53.59039984338115,10.015583101969302,Convenience Store,51111123e4b05285f821f919,"(1, 3, 3)"
Bakery & Deli,53.59057701346694,10.015526689456681,Bakery,52cd027a498e9aa214a3acde,"(1, 3, 3)"
Lidl,53.629528,9.9303048,Supermarket,5087fb2de4b002962b53c6e0,"(2, 0, 0)"
Hallo Pizza!,53.630221743018524,9.927358438984697,Pizza Place,50bdd1f6e4b0efd91a386270,"(2, 0, 0)"
Hermes Paket Shop,53.629124,9.929404,Shipping Store,5857ebf1c0df765a6c5b2160,"(2, 0, 0)"
Eishaus,53.629449605940216,9.928254,Ice Cream Shop,4bdd8ab44ffaa59321996ff7,"(2, 0, 0)"
H Sellhopsweg (Albertinen-Haus),53.62933883667822,9.929358274873767,Bus Stop,51b81403498e4099a521db44,"(2, 0, 0)"
Netto Filiale,53.63133,9.92665,Supermarket,4c9ce6dc9693236a2e85cde1,"(2, 0, 0)"
Edeka Meyer's Frischecenter,53.63308145882663,9.957577586174011,Supermarket,4bf7c3185ec320a1677987d3,"(2, 0, 2)"
Chalon,53.63078129714091,9.954496783220835,Asian Restaurant,5208b3ec11d28fa54bc79e38,"(2, 0, 2)"
Lidl,53.6343607,9.9550556,Supermarket,4c4c7a6246240f47dfc2daf4,"(2, 0, 2)"
plaza Bau- & Gartencenter,53.632924324393585,9.957153797149658,Hardware Store,4be167fe0365c9b6158ab338,"(2, 0, 2)"
U Schippelsweg,53.634611381125595,9.954118681297134,Metro Station,4b14c682f964a52075a623e3,"(2, 0, 2)"
Smiley's Pizza Profis,53.633817820966485,9.95298384100393,Pizza Place,4c4c755b5609c9b6cd589992,"(2, 0, 2)"
